latitude,longitude,value
-11.0,121.25,7.6920595
-11.0,122.5,8.022911
-11.0,123.125,8.191841
-10.5,120.0,7.8194833
-10.5,120.625,7.310769
-10.5,121.25,7.418394
-10.5,121.875,7.7239637
-10.5,123.125,8.430392
-10.5,123.75,8.2751
-10.5,124.375,7.6311026
-10.0,118.75,7.706663
-10.0,119.375,7.494205
-10.0,120.0,7.2474384
-10.0,120.625,7.078795
-10.0,123.125,7.3910055
-10.0,123.75,6.864276
-10.0,124.375,5.895273
-10.0,125.0,5.9141316
-9.5,118.75,6.295793
-9.5,119.375,6.726536
-9.5,120.0,7.477189
-9.5,120.625,7.401249
-9.5,123.75,4.3965683
-9.5,124.375,4.9075766
-9.5,125.0,6.0687275
-9.5,125.625,6.6198907
-9.0,114.375,6.5655527
-9.0,115.0,6.7211413
-9.0,115.625,6.476877
-9.0,116.25,5.970451
-9.0,116.875,4.665726
-9.0,117.5,4.1004815
-9.0,118.125,5.3393455
-9.0,118.75,5.545346
-9.0,119.375,6.4516487
-9.0,120.0,6.784592
-9.0,120.625,5.284706
-9.0,121.25,4.812375
-9.0,121.875,5.1097603
-9.0,122.5,4.510338
-9.0,124.375,6.509875
-9.0,125.0,6.2409453
-9.0,125.625,4.1949697
-9.0,126.25,5.2041965
-9.0,126.875,6.941921
-8.5,110.625,7.1624107
-8.5,111.25,6.891376
-8.5,111.875,6.436975
-8.5,112.5,6.470539
-8.5,113.125,6.0322785
-8.5,113.75,5.654458
-8.5,114.375,3.7283263
-8.5,115.0,4.230247
-8.5,115.625,4.438337
-8.5,116.25,3.8943236
-8.5,116.875,3.611806
-8.5,117.5,4.0586824
-8.5,118.125,5.1106534
-8.5,118.75,5.3064165
-8.5,119.375,4.8196545
-8.5,120.0,3.1480987
-8.5,120.625,3.0300918
-8.5,121.25,4.4219236
-8.5,121.875,4.810134
-8.5,122.5,4.3296857
-8.5,123.125,3.9117374
-8.5,123.75,4.473371
-8.5,124.375,5.076927
-8.5,125.0,3.565757
-8.5,125.625,5.2949533
-8.5,126.25,6.802512
-8.5,126.875,7.656679
-8.5,127.5,7.850795
-8.0,107.5,7.360768
-8.0,108.125,6.649582
-8.0,108.75,6.643653
-8.0,109.375,6.737387
-8.0,110.0,5.9369817
-8.0,110.625,5.198232
-8.0,111.25,4.990393
-8.0,111.875,4.3044763
-8.0,112.5,4.019933
-8.0,113.125,4.0646605
-8.0,113.75,3.985615
-8.0,114.375,3.5107427
-8.0,115.0,4.048749
-8.0,115.625,4.5942736
-8.0,117.5,4.6823616
-8.0,118.125,4.928738
-8.0,118.75,5.389513
-8.0,119.375,4.067374
-8.0,121.875,4.8260365
-8.0,122.5,4.4218974
-8.0,123.125,4.376332
-8.0,123.75,4.496178
-8.0,124.375,4.37944
-8.0,125.0,5.467022
-7.5,106.25,7.128809
-7.5,106.875,6.691655
-7.5,107.5,5.790112
-7.5,108.125,4.7671704
-7.5,108.75,4.3264384
-7.5,109.375,4.2118096
-7.5,110.0,3.7410083
-7.5,110.625,3.717996
-7.5,111.25,3.7644734
-7.5,111.875,3.5830083
-7.5,112.5,3.533813
-7.5,113.125,4.1990337
-7.5,113.75,4.300265
-7.5,114.375,5.2642326
-7.5,115.625,5.027994
-7.5,116.875,5.3038716
-7.5,117.5,5.1828127
-7.5,118.125,5.4485106
-7.0,105.0,6.1554976
-7.0,105.625,6.064681
-7.0,106.25,5.2266397
-7.0,106.875,3.8720305
-7.0,107.5,3.1377606
-7.0,108.125,3.5235946
-7.0,108.75,3.7619832
-7.0,109.375,3.0879695
-7.0,110.0,3.395395
-7.0,110.625,3.7311819
-7.0,111.25,3.7106571
-7.0,111.875,3.9895077
-7.0,112.5,4.389982
-7.0,113.125,4.86572
-7.0,113.75,5.112749
-7.0,114.375,5.47195
-7.0,115.0,5.562821
-7.0,115.625,5.454268
-7.0,116.25,5.4381433
-7.0,118.125,5.4991064
-7.0,118.75,5.029716
-7.0,119.375,4.768442
-6.5,105.0,5.345277
-6.5,105.625,4.596469
-6.5,106.25,3.2560344
-6.5,106.875,2.572107
-6.5,107.5,3.4212425
-6.5,108.125,4.6069255
-6.5,108.75,4.492459
-6.5,110.625,4.120474
-6.5,111.25,4.280752
-6.5,111.875,4.5950212
-6.5,115.625,5.5671563
-6.5,118.125,5.508057
-6.5,118.75,5.181641
-6.0,105.625,3.5839524
-6.0,106.25,3.0057693
-6.0,106.875,3.3843362
-6.0,107.5,4.458205
-6.0,108.125,4.972318
-6.0,110.0,4.4318566
-6.0,110.625,4.5954494
-6.0,112.5,5.119105
-5.5,106.25,3.446861
-5.5,106.875,4.079964
-5.5,114.375,5.497556
-5.0,114.375,5.4030128
-5.0,115.625,5.21496
-4.5,115.625,4.884623
-4.5,116.25,4.903244
