latitude,longitude,value
-11.0,121.25,6.8303213
-11.0,122.5,7.077409
-11.0,123.125,7.176084
-10.5,120.0,7.1019855
-10.5,120.625,6.5714345
-10.5,121.25,6.6380014
-10.5,121.875,7.022054
-10.5,123.125,7.663353
-10.5,123.75,7.7060256
-10.5,124.375,6.7500954
-10.0,118.75,7.0269055
-10.0,119.375,6.9839063
-10.0,120.0,6.5937366
-10.0,120.625,6.364497
-10.0,123.125,6.00853
-10.0,123.75,6.0892277
-10.0,124.375,5.726231
-10.0,125.0,4.929987
-9.5,118.75,5.607376
-9.5,119.375,5.629964
-9.5,120.0,6.464922
-9.5,120.625,6.6189995
-9.5,123.75,4.413621
-9.5,124.375,4.7540646
-9.5,125.0,5.5247545
-9.5,125.625,5.581461
-9.0,114.375,6.353559
-9.0,115.0,6.4096093
-9.0,115.625,6.117002
-9.0,116.25,5.839335
-9.0,116.875,4.6015086
-9.0,117.5,4.0095615
-9.0,118.125,4.9534674
-9.0,118.75,5.000247
-9.0,119.375,5.130179
-9.0,120.0,5.768405
-9.0,120.625,4.5365386
-9.0,121.25,3.929159
-9.0,121.875,3.9931989
-9.0,122.5,3.677764
-9.0,124.375,5.400738
-9.0,125.0,5.4958205
-9.0,125.625,4.107613
-9.0,126.25,4.725384
-9.0,126.875,5.9462485
-8.5,110.625,7.5403566
-8.5,111.25,7.198653
-8.5,111.875,6.6529307
-8.5,112.5,6.663849
-8.5,113.125,6.2257695
-8.5,113.75,5.757499
-8.5,114.375,3.9440148
-8.5,115.0,4.4198055
-8.5,115.625,4.6235776
-8.5,116.25,4.0182967
-8.5,116.875,3.4934196
-8.5,117.5,3.7681746
-8.5,118.125,4.6635647
-8.5,118.75,4.646421
-8.5,119.375,3.9429262
-8.5,120.0,2.810575
-8.5,120.625,2.6198833
-8.5,121.25,3.429681
-8.5,121.875,3.612748
-8.5,122.5,3.5011098
-8.5,123.125,3.5244675
-8.5,123.75,3.9434247
-8.5,124.375,4.041722
-8.5,125.0,3.7735791
-8.5,125.625,5.7604527
-8.5,126.25,6.7730875
-8.5,126.875,7.0620184
-8.5,127.5,7.0301456
-8.0,107.5,8.1113825
-8.0,108.125,7.2487416
-8.0,108.75,7.316931
-8.0,109.375,7.506622
-8.0,110.0,6.532159
-8.0,110.625,5.8061624
-8.0,111.25,5.613216
-8.0,111.875,4.92031
-8.0,112.5,4.465963
-8.0,113.125,4.645615
-8.0,113.75,4.507037
-8.0,114.375,3.9529853
-8.0,115.0,4.36039
-8.0,115.625,4.860607
-8.0,117.5,4.0821247
-8.0,118.125,4.170307
-8.0,118.75,4.5158105
-8.0,119.375,3.5283499
-8.0,121.875,3.8915467
-8.0,122.5,3.8583179
-8.0,123.125,4.0993137
-8.0,123.75,4.375231
-8.0,124.375,4.671445
-8.0,125.0,5.977295
-7.5,106.25,8.526332
-7.5,106.875,7.6525354
-7.5,107.5,6.2631154
-7.5,108.125,5.319439
-7.5,108.75,5.2155
-7.5,109.375,5.0256696
-7.5,110.0,4.334647
-7.5,110.625,4.3685956
-7.5,111.25,4.315593
-7.5,111.875,4.1244197
-7.5,112.5,3.9950442
-7.5,113.125,4.8990054
-7.5,113.75,4.73575
-7.5,114.375,5.5776224
-7.5,115.625,5.0059643
-7.5,116.875,4.548978
-7.5,117.5,4.5593114
-7.5,118.125,4.588144
-7.0,105.0,8.105238
-7.0,105.625,7.6220407
-7.0,106.25,6.062933
-7.0,106.875,4.1093073
-7.0,107.5,3.2978523
-7.0,108.125,4.077989
-7.0,108.75,4.4965806
-7.0,109.375,3.3878818
-7.0,110.0,3.8082805
-7.0,110.625,4.323687
-7.0,111.25,4.1649103
-7.0,111.875,4.390335
-7.0,112.5,4.92712
-7.0,113.125,5.594694
-7.0,113.75,5.6310263
-7.0,114.375,5.774593
-7.0,115.0,5.645739
-7.0,115.625,5.3662596
-7.0,116.25,5.0419
-7.0,118.125,4.9428544
-7.0,118.75,4.7492623
-7.0,119.375,4.4406033
-6.5,105.0,6.7284565
-6.5,105.625,5.1731377
-6.5,106.25,3.2296746
-6.5,106.875,2.651909
-6.5,107.5,3.5626082
-6.5,108.125,5.03009
-6.5,108.75,5.077827
-6.5,110.625,4.5832953
-6.5,111.25,4.7728896
-6.5,111.875,5.1316295
-6.5,115.625,5.561822
-6.5,118.125,5.364327
-6.5,118.75,5.2433867
-6.0,105.625,3.3753603
-6.0,106.25,2.7951586
-6.0,106.875,3.5004601
-6.0,107.5,4.545042
-6.0,108.125,5.2688837
-6.0,110.0,4.6468153
-6.0,110.625,5.0768657
-6.0,112.5,5.9343967
-5.5,106.25,3.1758595
-5.5,106.875,3.9460142
-5.5,114.375,6.1840816
-5.0,114.375,6.195407
-5.0,115.625,5.8213973
-4.5,115.625,5.4838285
-4.5,116.25,5.4744816
