latitude,longitude,value
-11.0,121.25,3.3031604
-11.0,122.5,3.4195392
-11.0,123.125,3.6842437
-10.5,120.0,3.5682988
-10.5,120.625,3.290923
-10.5,121.25,3.0532684
-10.5,121.875,3.0162368
-10.5,123.125,3.3809621
-10.5,123.75,3.753657
-10.5,124.375,3.7913609
-10.0,118.75,3.0627177
-10.0,119.375,3.2818336
-10.0,120.0,3.3537066
-10.0,120.625,3.130838
-10.0,123.125,2.68309
-10.0,123.75,2.9297566
-10.0,124.375,3.351449
-10.0,125.0,3.1609287
-9.5,118.75,2.6102853
-9.5,119.375,2.695366
-9.5,120.0,2.8517368
-9.5,120.625,3.0606132
-9.5,123.75,2.7168133
-9.5,124.375,2.6123722
-9.5,125.0,3.0529463
-9.5,125.625,3.4149332
-9.0,114.375,3.5508401
-9.0,115.0,3.3264232
-9.0,115.625,3.0687568
-9.0,116.25,3.17493
-9.0,116.875,2.7800488
-9.0,117.5,2.515818
-9.0,118.125,2.5524879
-9.0,118.75,2.4069247
-9.0,119.375,2.42706
-9.0,120.0,2.4678402
-9.0,120.625,2.5110884
-9.0,121.25,2.1043212
-9.0,121.875,2.030867
-9.0,122.5,1.9792848
-9.0,124.375,2.854942
-9.0,125.0,2.5983143
-9.0,125.625,2.4949512
-9.0,126.25,2.9830093
-9.0,126.875,3.1809418
-8.5,110.625,3.7089968
-8.5,111.25,3.671382
-8.5,111.875,3.6357572
-8.5,112.5,3.7382581
-8.5,113.125,3.747301
-8.5,113.75,3.2425995
-8.5,114.375,2.6968272
-8.5,115.0,2.6513903
-8.5,115.625,2.616425
-8.5,116.25,2.5337863
-8.5,116.875,2.368045
-8.5,117.5,2.1808846
-8.5,118.125,2.3314846
-8.5,118.75,2.2066455
-8.5,119.375,2.1333659
-8.5,120.0,2.2016418
-8.5,120.625,2.0241163
-8.5,121.25,2.0349538
-8.5,121.875,1.9953556
-8.5,122.5,1.9300133
-8.5,123.125,2.0381567
-8.5,123.75,2.2157764
-8.5,124.375,2.2869155
-8.5,125.0,2.7428184
-8.5,125.625,3.03902
-8.5,126.25,3.06357
-8.5,126.875,3.192096
-8.5,127.5,3.0756462
-8.0,107.5,4.1522794
-8.0,108.125,3.963718
-8.0,108.75,3.8231204
-8.0,109.375,3.812964
-8.0,110.0,3.6030626
-8.0,110.625,3.5185442
-8.0,111.25,3.1388125
-8.0,111.875,2.9870968
-8.0,112.5,2.78765
-8.0,113.125,2.9531822
-8.0,113.75,2.8125858
-8.0,114.375,2.8062427
-8.0,115.0,2.8015232
-8.0,115.625,2.5407035
-8.0,117.5,2.444538
-8.0,118.125,2.2731485
-8.0,118.75,2.322725
-8.0,119.375,2.2129538
-8.0,121.875,2.2124515
-8.0,122.5,2.2870238
-8.0,123.125,2.29884
-8.0,123.75,2.4840655
-8.0,124.375,2.7540126
-8.0,125.0,3.102204
-7.5,106.25,4.3357716
-7.5,106.875,4.2842565
-7.5,107.5,3.9670472
-7.5,108.125,3.4896004
-7.5,108.75,3.291757
-7.5,109.375,3.1226985
-7.5,110.0,2.9339898
-7.5,110.625,3.1685631
-7.5,111.25,2.8902302
-7.5,111.875,2.7380378
-7.5,112.5,2.6763253
-7.5,113.125,2.9451377
-7.5,113.75,3.0575004
-7.5,114.375,2.8824246
-7.5,115.625,2.5224128
-7.5,116.875,2.6032405
-7.5,117.5,2.6625047
-7.5,118.125,2.5297458
-7.0,105.0,5.2332115
-7.0,105.625,4.826136
-7.0,106.25,4.31443
-7.0,106.875,3.889122
-7.0,107.5,3.3230953
-7.0,108.125,2.6675925
-7.0,108.75,2.8360271
-7.0,109.375,3.3295212
-7.0,110.0,2.901112
-7.0,110.625,2.7420704
-7.0,111.25,2.8451297
-7.0,111.875,2.843344
-7.0,112.5,2.8977783
-7.0,113.125,2.8707788
-7.0,113.75,2.8652086
-7.0,114.375,2.6105862
-7.0,115.0,2.6510642
-7.0,115.625,2.7138793
-7.0,116.25,2.6823878
-7.0,118.125,2.7003956
-7.0,118.75,2.592796
-7.0,119.375,2.6617386
-6.5,105.0,5.5127535
-6.5,105.625,5.0246477
-6.5,106.25,4.4559813
-6.5,106.875,3.761813
-6.5,107.5,3.3684244
-6.5,108.125,2.920717
-6.5,108.75,2.6954565
-6.5,110.625,2.7697885
-6.5,111.25,2.85938
-6.5,111.875,2.893537
-6.5,115.625,2.700236
-6.5,118.125,2.825964
-6.5,118.75,2.8088229
-6.0,105.625,5.0437665
-6.0,106.25,4.665903
-6.0,106.875,4.192365
-6.0,107.5,4.044713
-6.0,108.125,3.551601
-6.0,110.0,3.0853543
-6.0,110.625,2.8350286
-6.0,112.5,2.8144488
-5.5,106.25,4.366224
-5.5,106.875,4.3375998
-5.5,114.375,2.6486483
-5.0,114.375,2.8472612
-5.0,115.625,2.78387
-4.5,115.625,2.9459493
-4.5,116.25,2.6809733
