latitude,longitude,value
-11.0,121.25,6.387581
-11.0,122.5,6.593018
-11.0,123.125,6.7464533
-10.5,120.0,5.964636
-10.5,120.625,6.1207685
-10.5,121.25,6.0498796
-10.5,121.875,6.2253623
-10.5,123.125,6.54456
-10.5,123.75,6.700843
-10.5,124.375,7.254117
-10.0,118.75,5.5329947
-10.0,119.375,5.585704
-10.0,120.0,5.6459947
-10.0,120.625,5.9534225
-10.0,123.125,5.9740853
-10.0,123.75,5.8238235
-10.0,124.375,5.461405
-10.0,125.0,5.2295413
-9.5,118.75,4.9538126
-9.5,119.375,5.1733117
-9.5,120.0,5.639463
-9.5,120.625,5.676323
-9.5,123.75,5.2782393
-9.5,124.375,4.575373
-9.5,125.0,4.2651863
-9.5,125.625,5.532215
-9.0,114.375,5.2108054
-9.0,115.0,4.9362073
-9.0,115.625,4.4682465
-9.0,116.25,4.4439406
-9.0,116.875,3.8429797
-9.0,117.5,3.410263
-9.0,118.125,3.905194
-9.0,118.75,4.4153404
-9.0,119.375,4.5333824
-9.0,120.0,5.0945396
-9.0,120.625,4.5888324
-9.0,121.25,3.534688
-9.0,121.875,4.205124
-9.0,122.5,4.50778
-9.0,124.375,5.8737464
-9.0,125.0,5.099602
-9.0,125.625,3.888036
-9.0,126.25,3.1437771
-9.0,126.875,5.256242
-8.5,110.625,5.9377747
-8.5,111.25,6.0068107
-8.5,111.875,5.5131803
-8.5,112.5,5.6327963
-8.5,113.125,5.240527
-8.5,113.75,4.712938
-8.5,114.375,3.153904
-8.5,115.0,3.1166074
-8.5,115.625,3.74373
-8.5,116.25,3.5514865
-8.5,116.875,3.67791
-8.5,117.5,3.4071016
-8.5,118.125,3.9361842
-8.5,118.75,4.356602
-8.5,119.375,4.3090143
-8.5,120.0,3.8183947
-8.5,120.625,3.358086
-8.5,121.25,3.362592
-8.5,121.875,4.1602755
-8.5,122.5,4.3231144
-8.5,123.125,4.5139623
-8.5,123.75,4.6134977
-8.5,124.375,4.6983395
-8.5,125.0,5.1040487
-8.5,125.625,4.992564
-8.5,126.25,5.0015516
-8.5,126.875,5.781828
-8.5,127.5,6.0518284
-8.0,107.5,6.91332
-8.0,108.125,6.1536074
-8.0,108.75,5.174846
-8.0,109.375,5.683561
-8.0,110.0,5.3828483
-8.0,110.625,4.6953373
-8.0,111.25,4.6495953
-8.0,111.875,4.4215374
-8.0,112.5,4.1475763
-8.0,113.125,4.0192957
-8.0,113.75,3.7641532
-8.0,114.375,3.5869687
-8.0,115.0,3.9271753
-8.0,115.625,5.068755
-8.0,117.5,4.7507343
-8.0,118.125,4.8942466
-8.0,118.75,5.2948084
-8.0,119.375,5.5763574
-8.0,121.875,6.337339
-8.0,122.5,6.047728
-8.0,123.125,5.7015653
-8.0,123.75,5.5565534
-8.0,124.375,5.3739743
-8.0,125.0,5.922994
-7.5,106.25,6.4015
-7.5,106.875,6.43536
-7.5,107.5,6.0950246
-7.5,108.125,4.3664336
-7.5,108.75,3.8027008
-7.5,109.375,4.511691
-7.5,110.0,4.729443
-7.5,110.625,4.2876616
-7.5,111.25,4.129916
-7.5,111.875,4.448126
-7.5,112.5,4.4886856
-7.5,113.125,5.056251
-7.5,113.75,5.2399855
-7.5,114.375,6.101254
-7.5,115.625,6.0211573
-7.5,116.875,6.0408983
-7.5,117.5,5.8448014
-7.5,118.125,6.101911
-7.0,105.0,6.1004014
-7.0,105.625,5.789843
-7.0,106.25,5.4397497
-7.0,106.875,5.05636
-7.0,107.5,5.076786
-7.0,108.125,4.1738176
-7.0,108.75,4.501174
-7.0,109.375,4.9456058
-7.0,110.0,5.9518657
-7.0,110.625,5.6082826
-7.0,111.25,5.3192577
-7.0,111.875,5.6351614
-7.0,112.5,5.9973483
-7.0,113.125,6.4890833
-7.0,113.75,6.651595
-7.0,114.375,6.643525
-7.0,115.0,6.5820746
-7.0,115.625,6.4032893
-7.0,116.25,6.1780047
-7.0,118.125,6.2278557
-7.0,118.75,6.2938604
-7.0,119.375,6.426792
-6.5,105.0,5.472963
-6.5,105.625,4.993456
-6.5,106.25,4.6935034
-6.5,106.875,4.635766
-6.5,107.5,4.9042363
-6.5,108.125,5.7458754
-6.5,108.75,6.7193713
-6.5,110.625,6.7701054
-6.5,111.25,6.670546
-6.5,111.875,6.696326
-6.5,115.625,6.452744
-6.5,118.125,6.173984
-6.5,118.75,6.27326
-6.0,105.625,4.5987926
-6.0,106.25,4.96464
-6.0,106.875,5.4289002
-6.0,107.5,5.9616733
-6.0,108.125,6.733143
-6.0,110.0,6.8543296
-6.0,110.625,6.9955983
-6.0,112.5,7.0002894
-5.5,106.25,5.4688554
-5.5,106.875,6.0504313
-5.5,114.375,6.459989
-5.0,114.375,6.064967
-5.0,115.625,5.5303836
-4.5,115.625,4.8586884
-4.5,116.25,4.589549
