latitude,longitude,value
-11.0,121.25,3.8835702
-11.0,122.5,3.787536
-11.0,123.125,3.8231914
-10.5,120.0,3.7410858
-10.5,120.625,3.6235058
-10.5,121.25,3.5612574
-10.5,121.875,3.5792553
-10.5,123.125,3.652274
-10.5,123.75,3.8987658
-10.5,124.375,4.0188403
-10.0,118.75,3.5358508
-10.0,119.375,3.6278393
-10.0,120.0,3.6249976
-10.0,120.625,3.428682
-10.0,123.125,3.1270773
-10.0,123.75,3.2967062
-10.0,124.375,3.1421802
-10.0,125.0,2.9887645
-9.5,118.75,3.247557
-9.5,119.375,3.5215352
-9.5,120.0,3.4948704
-9.5,120.625,3.121824
-9.5,123.75,2.879598
-9.5,124.375,2.551722
-9.5,125.0,2.7695994
-9.5,125.625,3.5461593
-9.0,114.375,3.2183437
-9.0,115.0,3.1263888
-9.0,115.625,3.038732
-9.0,116.25,3.0769336
-9.0,116.875,2.684341
-9.0,117.5,2.540942
-9.0,118.125,2.9404588
-9.0,118.75,3.0982711
-9.0,119.375,3.2373343
-9.0,120.0,3.1695197
-9.0,120.625,2.4751997
-9.0,121.25,2.3104324
-9.0,121.875,2.6652956
-9.0,122.5,2.6167524
-9.0,124.375,3.0510468
-9.0,125.0,2.765549
-9.0,125.625,2.3293965
-9.0,126.25,2.5829916
-9.0,126.875,3.172064
-8.5,110.625,3.768383
-8.5,111.25,3.775921
-8.5,111.875,3.6169076
-8.5,112.5,3.589818
-8.5,113.125,3.3766356
-8.5,113.75,3.0882573
-8.5,114.375,2.3457937
-8.5,115.0,2.5001729
-8.5,115.625,2.8121936
-8.5,116.25,2.7476985
-8.5,116.875,2.8060725
-8.5,117.5,2.5724025
-8.5,118.125,2.9889927
-8.5,118.75,2.9933376
-8.5,119.375,3.0434322
-8.5,120.0,2.7757099
-8.5,120.625,2.241969
-8.5,121.25,2.6007109
-8.5,121.875,2.7893448
-8.5,122.5,2.7050612
-8.5,123.125,2.6995819
-8.5,123.75,2.678384
-8.5,124.375,2.7257373
-8.5,125.0,2.8888962
-8.5,125.625,2.8229764
-8.5,126.25,2.9054885
-8.5,126.875,3.1852677
-8.5,127.5,3.2558482
-8.0,107.5,4.542018
-8.0,108.125,4.4454722
-8.0,108.75,4.0550113
-8.0,109.375,3.8477912
-8.0,110.0,3.6608965
-8.0,110.625,3.4506583
-8.0,111.25,3.1742356
-8.0,111.875,3.0199401
-8.0,112.5,2.730577
-8.0,113.125,2.8151364
-8.0,113.75,2.8145506
-8.0,114.375,2.7098243
-8.0,115.0,2.993165
-8.0,115.625,3.0933561
-8.0,117.5,3.1280684
-8.0,118.125,2.9614062
-8.0,118.75,3.1847422
-8.0,119.375,3.3040185
-8.0,121.875,3.1671598
-8.0,122.5,3.050405
-8.0,123.125,2.9597147
-8.0,123.75,2.9826486
-8.0,124.375,2.9834108
-8.0,125.0,3.2484097
-7.5,106.25,4.2470546
-7.5,106.875,4.3285875
-7.5,107.5,4.2088246
-7.5,108.125,3.7362516
-7.5,108.75,3.1935558
-7.5,109.375,3.015977
-7.5,110.0,2.9603758
-7.5,110.625,2.907219
-7.5,111.25,2.7260692
-7.5,111.875,2.8273165
-7.5,112.5,2.8401551
-7.5,113.125,3.1477072
-7.5,113.75,3.4449637
-7.5,114.375,3.5085287
-7.5,115.625,3.2457447
-7.5,116.875,3.385919
-7.5,117.5,3.3730006
-7.5,118.125,3.522555
-7.0,105.0,4.761625
-7.0,105.625,4.4497647
-7.0,106.25,4.0710444
-7.0,106.875,3.7604587
-7.0,107.5,3.5019143
-7.0,108.125,2.627119
-7.0,108.75,2.7008572
-7.0,109.375,3.0932822
-7.0,110.0,3.113792
-7.0,110.625,2.9417555
-7.0,111.25,3.109492
-7.0,111.875,3.3983831
-7.0,112.5,3.623412
-7.0,113.125,3.7519665
-7.0,113.75,3.80828
-7.0,114.375,3.7078846
-7.0,115.0,3.4748356
-7.0,115.625,3.29799
-7.0,116.25,3.2432272
-7.0,118.125,3.5393608
-7.0,118.75,3.6403055
-7.0,119.375,3.7096562
-6.5,105.0,5.0067363
-6.5,105.625,4.600153
-6.5,106.25,4.2088056
-6.5,106.875,3.815828
-6.5,107.5,3.5159369
-6.5,108.125,3.0564325
-6.5,108.75,2.9604511
-6.5,110.625,3.5878646
-6.5,111.25,3.694857
-6.5,111.875,3.8441064
-6.5,115.625,3.3512557
-6.5,118.125,3.5042439
-6.5,118.75,3.6411989
-6.0,105.625,4.587064
-6.0,106.25,4.473202
-6.0,106.875,4.1379433
-6.0,107.5,3.9120734
-6.0,108.125,3.763038
-6.0,110.0,3.7130828
-6.0,110.625,3.7751145
-6.0,112.5,3.9110255
-5.5,106.25,4.187207
-5.5,106.875,4.257771
-5.5,114.375,3.5476642
-5.0,114.375,3.609701
-5.0,115.625,3.3078327
-4.5,115.625,3.2648726
-4.5,116.25,3.021837
