latitude,longitude,value
-11.0,121.25,6.4346733
-11.0,122.5,6.6302395
-11.0,123.125,6.8482633
-10.5,120.0,6.323719
-10.5,120.625,6.3065076
-10.5,121.25,6.1391573
-10.5,121.875,6.1934977
-10.5,123.125,6.5383797
-10.5,123.75,6.6378846
-10.5,124.375,6.832087
-10.0,118.75,5.8873677
-10.0,119.375,6.030807
-10.0,120.0,6.0641537
-10.0,120.625,6.05023
-10.0,123.125,5.9332476
-10.0,123.75,5.7940416
-10.0,124.375,5.067838
-10.0,125.0,4.7738805
-9.5,118.75,5.433734
-9.5,119.375,5.6777806
-9.5,120.0,5.876181
-9.5,120.625,5.5177493
-9.5,123.75,5.036812
-9.5,124.375,4.3457165
-9.5,125.0,4.5267096
-9.5,125.625,5.5188394
-9.0,114.375,5.6349974
-9.0,115.0,5.611126
-9.0,115.625,5.3998914
-9.0,116.25,4.994248
-9.0,116.875,4.250268
-9.0,117.5,3.7339845
-9.0,118.125,4.089302
-9.0,118.75,4.522935
-9.0,119.375,4.8170233
-9.0,120.0,5.0351095
-9.0,120.625,4.4274077
-9.0,121.25,3.5605006
-9.0,121.875,4.2011333
-9.0,122.5,4.433172
-9.0,124.375,5.266933
-9.0,125.0,4.8237443
-9.0,125.625,3.8641684
-9.0,126.25,3.5627177
-9.0,126.875,5.3017645
-8.5,110.625,5.2553368
-8.5,111.25,5.3730607
-8.5,111.875,5.1450496
-8.5,112.5,5.1486506
-8.5,113.125,5.4123898
-8.5,113.75,4.9044156
-8.5,114.375,3.7653804
-8.5,115.0,3.589658
-8.5,115.625,3.9315858
-8.5,116.25,3.5136588
-8.5,116.875,3.5871282
-8.5,117.5,2.9906464
-8.5,118.125,3.3861325
-8.5,118.75,3.8096488
-8.5,119.375,3.9958954
-8.5,120.0,3.8653305
-8.5,120.625,3.332228
-8.5,121.25,3.3830504
-8.5,121.875,4.177399
-8.5,122.5,4.381556
-8.5,123.125,4.597972
-8.5,123.75,4.7120614
-8.5,124.375,4.855121
-8.5,125.0,4.829064
-8.5,125.625,4.858466
-8.5,126.25,5.272865
-8.5,126.875,5.8532667
-8.5,127.5,6.1476936
-8.0,107.5,5.6381383
-8.0,108.125,5.835926
-8.0,108.75,5.6012654
-8.0,109.375,5.157451
-8.0,110.0,4.9802575
-8.0,110.625,4.8385406
-8.0,111.25,4.487141
-8.0,111.875,4.148741
-8.0,112.5,3.8908956
-8.0,113.125,3.7120159
-8.0,113.75,3.4131284
-8.0,114.375,3.11751
-8.0,115.0,3.1969082
-8.0,115.625,3.656524
-8.0,117.5,4.0974383
-8.0,118.125,4.180164
-8.0,118.75,4.5103607
-8.0,119.375,4.7159386
-8.0,121.875,5.5266433
-8.0,122.5,5.188177
-8.0,123.125,4.972248
-8.0,123.75,5.0809226
-8.0,124.375,5.0256166
-8.0,125.0,5.502703
-7.5,106.25,5.066713
-7.5,106.875,5.2043633
-7.5,107.5,5.336282
-7.5,108.125,4.708081
-7.5,108.75,3.823852
-7.5,109.375,3.7351449
-7.5,110.0,4.0680733
-7.5,110.625,3.9825892
-7.5,111.25,3.8048098
-7.5,111.875,3.753674
-7.5,112.5,3.7446747
-7.5,113.125,3.641204
-7.5,113.75,3.7506588
-7.5,114.375,4.2084756
-7.5,115.625,4.2678695
-7.5,116.875,4.802505
-7.5,117.5,4.8447733
-7.5,118.125,5.121185
-7.0,105.0,5.275358
-7.0,105.625,5.162634
-7.0,106.25,4.857613
-7.0,106.875,4.6358128
-7.0,107.5,4.441015
-7.0,108.125,3.1364841
-7.0,108.75,3.053301
-7.0,109.375,3.8408182
-7.0,110.0,4.406932
-7.0,110.625,3.8983963
-7.0,111.25,4.0698457
-7.0,111.875,4.351666
-7.0,112.5,4.550375
-7.0,113.125,4.759332
-7.0,113.75,4.8113565
-7.0,114.375,4.841443
-7.0,115.0,4.761084
-7.0,115.625,4.6266866
-7.0,116.25,4.6963406
-7.0,118.125,5.2412214
-7.0,118.75,5.3242464
-7.0,119.375,5.50268
-6.5,105.0,5.498759
-6.5,105.625,5.222063
-6.5,106.25,4.853847
-6.5,106.875,4.518694
-6.5,107.5,4.368177
-6.5,108.125,4.267255
-6.5,108.75,4.672459
-6.5,110.625,5.200293
-6.5,111.25,5.195559
-6.5,111.875,5.268198
-6.5,115.625,4.9986477
-6.5,118.125,5.2822065
-6.5,118.75,5.4289484
-6.0,105.625,5.085061
-6.0,106.25,5.1155834
-6.0,106.875,5.124401
-6.0,107.5,5.3662667
-6.0,108.125,5.7039886
-6.0,110.0,5.7635016
-6.0,110.625,5.7762036
-6.0,112.5,5.829274
-5.5,106.25,5.1725183
-5.5,106.875,5.7159204
-5.5,114.375,5.721128
-5.0,114.375,5.8612723
-5.0,115.625,5.58635
-4.5,115.625,5.593766
-4.5,116.25,5.297227
