latitude,longitude,value
-11.0,121.25,3.1956646
-11.0,122.5,3.2671597
-11.0,123.125,3.4652436
-10.5,120.0,3.5817294
-10.5,120.625,3.240911
-10.5,121.25,3.0509822
-10.5,121.875,3.0899475
-10.5,123.125,3.402574
-10.5,123.75,3.6866717
-10.5,124.375,3.3544874
-10.0,118.75,3.2067523
-10.0,119.375,3.3536158
-10.0,120.0,3.5905137
-10.0,120.625,3.3329015
-10.0,123.125,2.9650183
-10.0,123.75,3.287125
-10.0,124.375,2.9122965
-10.0,125.0,2.559113
-9.5,118.75,2.9299502
-9.5,119.375,3.1355126
-9.5,120.0,3.4590638
-9.5,120.625,3.4234338
-9.5,123.75,2.6583304
-9.5,124.375,2.74942
-9.5,125.0,2.8504071
-9.5,125.625,2.9983022
-9.0,114.375,3.621252
-9.0,115.0,3.5754375
-9.0,115.625,3.3432894
-9.0,116.25,3.2943075
-9.0,116.875,2.8838408
-9.0,117.5,2.549168
-9.0,118.125,2.7675395
-9.0,118.75,2.783808
-9.0,119.375,2.738828
-9.0,120.0,2.8235114
-9.0,120.625,2.4993694
-9.0,121.25,2.4274824
-9.0,121.875,2.5693543
-9.0,122.5,2.427544
-9.0,124.375,2.7224178
-9.0,125.0,2.9973476
-9.0,125.625,2.3265672
-9.0,126.25,2.7927158
-9.0,126.875,3.3063757
-8.5,110.625,3.8698084
-8.5,111.25,3.8229926
-8.5,111.875,3.7695875
-8.5,112.5,3.8243525
-8.5,113.125,3.5991135
-8.5,113.75,3.175838
-8.5,114.375,2.6441376
-8.5,115.0,2.7265043
-8.5,115.625,2.779862
-8.5,116.25,2.610095
-8.5,116.875,2.3240137
-8.5,117.5,2.3174424
-8.5,118.125,2.7524836
-8.5,118.75,2.7574236
-8.5,119.375,2.5608914
-8.5,120.0,2.192749
-8.5,120.625,1.9375447
-8.5,121.25,2.356707
-8.5,121.875,2.5193622
-8.5,122.5,2.4659088
-8.5,123.125,2.4031484
-8.5,123.75,2.3431597
-8.5,124.375,2.4864216
-8.5,125.0,2.2121258
-8.5,125.625,2.6777897
-8.5,126.25,3.4590228
-8.5,126.875,3.7752175
-8.5,127.5,3.6206064
-8.0,107.5,4.355335
-8.0,108.125,4.04256
-8.0,108.75,3.7734385
-8.0,109.375,3.756606
-8.0,110.0,3.5889435
-8.0,110.625,3.3192387
-8.0,111.25,3.1065946
-8.0,111.875,2.9947522
-8.0,112.5,2.718896
-8.0,113.125,2.8476024
-8.0,113.75,2.6708214
-8.0,114.375,2.5631318
-8.0,115.0,2.6742074
-8.0,115.625,2.7758324
-8.0,117.5,2.3485317
-8.0,118.125,2.5048304
-8.0,118.75,2.59904
-8.0,119.375,2.467555
-8.0,121.875,2.2856293
-8.0,122.5,2.420747
-8.0,123.125,2.4370034
-8.0,123.75,2.4822874
-8.0,124.375,2.4952993
-8.0,125.0,2.4315197
-7.5,106.25,3.831069
-7.5,106.875,4.0967693
-7.5,107.5,3.8493168
-7.5,108.125,3.3178906
-7.5,108.75,2.9913697
-7.5,109.375,2.8395941
-7.5,110.0,2.6937084
-7.5,110.625,2.8080711
-7.5,111.25,2.7405536
-7.5,111.875,2.6390169
-7.5,112.5,2.4175441
-7.5,113.125,2.6307387
-7.5,113.75,2.5934818
-7.5,114.375,2.8188183
-7.5,115.625,2.6040926
-7.5,116.875,2.2017262
-7.5,117.5,2.270487
-7.5,118.125,2.284582
-7.0,105.0,3.6767676
-7.0,105.625,3.7044394
-7.0,106.25,3.5322492
-7.0,106.875,3.2143722
-7.0,107.5,2.851351
-7.0,108.125,2.4703975
-7.0,108.75,2.7029293
-7.0,109.375,2.8213494
-7.0,110.0,2.6388884
-7.0,110.625,2.728646
-7.0,111.25,2.7308798
-7.0,111.875,2.6725368
-7.0,112.5,2.5681577
-7.0,113.125,2.5070033
-7.0,113.75,2.6270938
-7.0,114.375,2.51293
-7.0,115.0,2.4680314
-7.0,115.625,2.5660274
-7.0,116.25,2.4406471
-7.0,118.125,2.192945
-7.0,118.75,2.2577257
-7.0,119.375,2.3470185
-6.5,105.0,3.841507
-6.5,105.625,3.776249
-6.5,106.25,3.56087
-6.5,106.875,3.11113
-6.5,107.5,2.8574228
-6.5,108.125,2.7275205
-6.5,108.75,2.853502
-6.5,110.625,2.620663
-6.5,111.25,2.7020252
-6.5,111.875,2.6543307
-6.5,115.625,2.415062
-6.5,118.125,2.2094185
-6.5,118.75,2.3167408
-6.0,105.625,4.005442
-6.0,106.25,3.9096088
-6.0,106.875,3.4445038
-6.0,107.5,3.0116463
-6.0,108.125,2.7022033
-6.0,110.0,2.5950894
-6.0,110.625,2.5185344
-6.0,112.5,2.4903905
-5.5,106.25,3.9324837
-5.5,106.875,3.6216426
-5.5,114.375,2.5165606
-5.0,114.375,2.6077754
-5.0,115.625,2.597736
-4.5,115.625,2.7649584
-4.5,116.25,2.6710722
