latitude,longitude,value
-11.0,121.25,5.854602
-11.0,122.5,6.056445
-11.0,123.125,6.199298
-10.5,120.0,6.52619
-10.5,120.625,5.83102
-10.5,121.25,5.7819963
-10.5,121.875,6.1252475
-10.5,123.125,6.843739
-10.5,123.75,6.865989
-10.5,124.375,5.915991
-10.0,118.75,6.8340797
-10.0,119.375,6.8429976
-10.0,120.0,6.370664
-10.0,120.625,5.8717647
-10.0,123.125,5.751796
-10.0,123.75,5.832373
-10.0,124.375,5.220901
-10.0,125.0,4.3561125
-9.5,118.75,5.5319943
-9.5,119.375,5.8827124
-9.5,120.0,6.5709777
-9.5,120.625,6.4258995
-9.5,123.75,4.230146
-9.5,124.375,4.5248423
-9.5,125.0,5.127913
-9.5,125.625,4.9971104
-9.0,114.375,6.593127
-9.0,115.0,6.665645
-9.0,115.625,6.4181576
-9.0,116.25,6.143533
-9.0,116.875,4.735078
-9.0,117.5,4.034925
-9.0,118.125,5.074074
-9.0,118.75,5.049215
-9.0,119.375,5.533546
-9.0,120.0,6.1749625
-9.0,120.625,4.701101
-9.0,121.25,4.036441
-9.0,121.875,4.1819873
-9.0,122.5,3.8251467
-9.0,124.375,5.081471
-9.0,125.0,5.1624093
-9.0,125.625,3.7711625
-9.0,126.25,4.3471603
-9.0,126.875,5.2578464
-8.5,110.625,7.852487
-8.5,111.25,7.4887176
-8.5,111.875,6.9283695
-8.5,112.5,7.0062556
-8.5,113.125,6.4471
-8.5,113.75,6.0329804
-8.5,114.375,3.953358
-8.5,115.0,4.5092683
-8.5,115.625,4.5701666
-8.5,116.25,3.9023051
-8.5,116.875,3.4462636
-8.5,117.5,3.9999728
-8.5,118.125,4.989663
-8.5,118.75,4.925691
-8.5,119.375,3.9753337
-8.5,120.0,2.8930125
-8.5,120.625,3.047172
-8.5,121.25,3.8947227
-8.5,121.875,4.0303097
-8.5,122.5,3.6507266
-8.5,123.125,3.2374065
-8.5,123.75,3.3121462
-8.5,124.375,3.6844425
-8.5,125.0,3.3959124
-8.5,125.625,5.3643637
-8.5,126.25,6.4118257
-8.5,126.875,6.517241
-8.5,127.5,6.351016
-8.0,107.5,8.538864
-8.0,108.125,7.606383
-8.0,108.75,7.6401215
-8.0,109.375,7.78531
-8.0,110.0,6.6556463
-8.0,110.625,6.096372
-8.0,111.25,6.0338893
-8.0,111.875,5.303444
-8.0,112.5,4.9067864
-8.0,113.125,4.8236203
-8.0,113.75,4.7902603
-8.0,114.375,3.816433
-8.0,115.0,4.2459745
-8.0,115.625,4.5488377
-8.0,117.5,4.430141
-8.0,118.125,4.5886006
-8.0,118.75,4.796631
-8.0,119.375,3.5363147
-8.0,121.875,3.9006596
-8.0,122.5,3.5734332
-8.0,123.125,3.5491395
-8.0,123.75,3.5258322
-8.0,124.375,3.875165
-8.0,125.0,5.156588
-7.5,106.25,8.628056
-7.5,106.875,7.7215614
-7.5,107.5,6.3557053
-7.5,108.125,5.398588
-7.5,108.75,5.1619697
-7.5,109.375,5.147119
-7.5,110.0,4.550119
-7.5,110.625,4.585783
-7.5,111.25,4.6079454
-7.5,111.875,4.3898745
-7.5,112.5,4.538614
-7.5,113.125,5.3041406
-7.5,113.75,5.1765976
-7.5,114.375,5.7697887
-7.5,115.625,4.862263
-7.5,116.875,5.0877223
-7.5,117.5,5.192334
-7.5,118.125,5.31549
-7.0,105.0,7.761784
-7.0,105.625,7.268782
-7.0,106.25,5.7462444
-7.0,106.875,3.9191256
-7.0,107.5,3.508949
-7.0,108.125,4.2721653
-7.0,108.75,4.613
-7.0,109.375,3.3679488
-7.0,110.0,3.9257329
-7.0,110.625,4.546971
-7.0,111.25,4.580435
-7.0,111.875,4.980186
-7.0,112.5,5.844634
-7.0,113.125,6.303162
-7.0,113.75,6.2785435
-7.0,114.375,6.132157
-7.0,115.0,5.935679
-7.0,115.625,5.746297
-7.0,116.25,5.744686
-7.0,118.125,5.9956307
-7.0,118.75,5.667822
-7.0,119.375,5.304076
-6.5,105.0,6.2074857
-6.5,105.625,4.681393
-6.5,106.25,3.1816697
-6.5,106.875,3.1095595
-6.5,107.5,4.1465855
-6.5,108.125,5.522557
-6.5,108.75,5.2865005
-6.5,110.625,5.3331394
-6.5,111.25,5.6238317
-6.5,111.875,6.1962156
-6.5,115.625,6.3177547
-6.5,118.125,6.575844
-6.5,118.75,6.3477993
-6.0,105.625,3.3945725
-6.0,106.25,3.5038414
-6.0,106.875,4.538915
-6.0,107.5,5.523714
-6.0,108.125,5.9795084
-6.0,110.0,5.688026
-6.0,110.625,6.1592607
-6.0,112.5,7.097187
-5.5,106.25,4.1676292
-5.5,106.875,5.04225
-5.5,114.375,7.0505986
-5.0,114.375,7.124879
-5.0,115.625,6.893035
-4.5,115.625,6.577246
-4.5,116.25,6.6727915
