latitude,longitude,value
-11.0,121.25,7.0853767
-11.0,122.5,7.302954
-11.0,123.125,7.42829
-10.5,120.0,7.231397
-10.5,120.625,6.779759
-10.5,121.25,6.8140326
-10.5,121.875,7.078184
-10.5,123.125,7.615988
-10.5,123.75,7.6152744
-10.5,124.375,7.0807343
-10.0,118.75,6.7897224
-10.0,119.375,6.736696
-10.0,120.0,6.618377
-10.0,120.625,6.463913
-10.0,123.125,6.0408754
-10.0,123.75,5.950942
-10.0,124.375,5.5845165
-10.0,125.0,5.4586215
-9.5,118.75,5.4100547
-9.5,119.375,5.811397
-9.5,120.0,6.5949993
-9.5,120.625,6.5108047
-9.5,123.75,3.892406
-9.5,124.375,4.5059514
-9.5,125.0,5.6694927
-9.5,125.625,6.2281933
-9.0,114.375,5.7594786
-9.0,115.0,5.8325505
-9.0,115.625,5.519752
-9.0,116.25,5.1675186
-9.0,116.875,4.080551
-9.0,117.5,3.6603477
-9.0,118.125,4.593485
-9.0,118.75,4.6798654
-9.0,119.375,5.3774486
-9.0,120.0,5.8702283
-9.0,120.625,4.726836
-9.0,121.25,4.081003
-9.0,121.875,4.1486278
-9.0,122.5,3.6241894
-9.0,124.375,5.971058
-9.0,125.0,5.6056547
-9.0,125.625,4.0144053
-9.0,126.25,4.974994
-9.0,126.875,6.555372
-8.5,110.625,6.56161
-8.5,111.25,6.2565274
-8.5,111.875,5.8710394
-8.5,112.5,5.860244
-8.5,113.125,5.394018
-8.5,113.75,4.9376707
-8.5,114.375,3.352718
-8.5,115.0,3.6907463
-8.5,115.625,3.773113
-8.5,116.25,3.3038096
-8.5,116.875,3.0097778
-8.5,117.5,3.4082613
-8.5,118.125,4.146099
-8.5,118.75,4.2891665
-8.5,119.375,3.8060362
-8.5,120.0,2.6626623
-8.5,120.625,2.624543
-8.5,121.25,3.6545596
-8.5,121.875,3.955859
-8.5,122.5,3.7481875
-8.5,123.125,3.5595603
-8.5,123.75,4.0821137
-8.5,124.375,4.413139
-8.5,125.0,3.2633517
-8.5,125.625,5.1873484
-8.5,126.25,6.4469924
-8.5,126.875,7.34386
-8.5,127.5,7.5600457
-8.0,107.5,6.7495837
-8.0,108.125,6.074685
-8.0,108.75,6.0408835
-8.0,109.375,6.2755623
-8.0,110.0,5.610925
-8.0,110.625,4.84202
-8.0,111.25,4.454304
-8.0,111.875,3.8313115
-8.0,112.5,3.502398
-8.0,113.125,3.5689838
-8.0,113.75,3.4668338
-8.0,114.375,3.1019206
-8.0,115.0,3.3961453
-8.0,115.625,3.8575933
-8.0,117.5,3.847971
-8.0,118.125,4.0013466
-8.0,118.75,4.355288
-8.0,119.375,3.4200814
-8.0,121.875,4.1758547
-8.0,122.5,3.9642427
-8.0,123.125,4.0517654
-8.0,123.75,4.194468
-8.0,124.375,4.236532
-8.0,125.0,5.630672
-7.5,106.25,6.033496
-7.5,106.875,5.7210784
-7.5,107.5,5.0113378
-7.5,108.125,4.360179
-7.5,108.75,3.9018202
-7.5,109.375,3.6236255
-7.5,110.0,3.3593898
-7.5,110.625,3.3160908
-7.5,111.25,3.2765722
-7.5,111.875,3.1326368
-7.5,112.5,3.2904024
-7.5,113.125,3.8672428
-7.5,113.75,3.9640648
-7.5,114.375,4.7148733
-7.5,115.625,4.3566704
-7.5,116.875,4.4236727
-7.5,117.5,4.367444
-7.5,118.125,4.5927954
-7.0,105.0,5.263031
-7.0,105.625,4.8329563
-7.0,106.25,4.0951605
-7.0,106.875,3.178913
-7.0,107.5,2.815476
-7.0,108.125,3.0576265
-7.0,108.75,3.1104605
-7.0,109.375,2.703063
-7.0,110.0,3.3298914
-7.0,110.625,3.5621517
-7.0,111.25,3.6626203
-7.0,111.875,3.9119668
-7.0,112.5,4.432214
-7.0,113.125,4.788737
-7.0,113.75,4.936899
-7.0,114.375,5.001054
-7.0,115.0,4.9437003
-7.0,115.625,4.894727
-7.0,116.25,4.8211265
-7.0,118.125,4.896219
-7.0,118.75,4.682802
-7.0,119.375,4.619964
-6.5,105.0,4.6563487
-6.5,105.625,3.7436943
-6.5,106.25,2.9036233
-6.5,106.875,2.8842092
-6.5,107.5,3.5451808
-6.5,108.125,3.8894787
-6.5,108.75,3.9787543
-6.5,110.625,4.273946
-6.5,111.25,4.4745045
-6.5,111.875,4.7638845
-6.5,115.625,5.1369658
-6.5,118.125,5.134816
-6.5,118.75,5.087128
-6.0,105.625,3.517337
-6.0,106.25,3.4101233
-6.0,106.875,3.8969603
-6.0,107.5,4.3593345
-6.0,108.125,4.492433
-6.0,110.0,4.466883
-6.0,110.625,4.7666054
-6.0,112.5,5.2910395
-5.5,106.25,3.7085333
-5.5,106.875,4.0720463
-5.5,114.375,5.3549685
-5.0,114.375,5.2569456
-5.0,115.625,5.1116557
-4.5,115.625,4.7949734
-4.5,116.25,4.8393407
