latitude,longitude,value
-11.0,121.25,4.1967287
-11.0,122.5,4.06662
-11.0,123.125,4.1660385
-10.5,120.0,4.4655976
-10.5,120.625,4.022809
-10.5,121.25,3.7596242
-10.5,121.875,3.7124128
-10.5,123.125,3.927126
-10.5,123.75,4.0799704
-10.5,124.375,4.080979
-10.0,118.75,4.1936693
-10.0,119.375,4.209413
-10.0,120.0,4.0514297
-10.0,120.625,3.7840714
-10.0,123.125,3.5401616
-10.0,123.75,3.6980908
-10.0,124.375,3.1835546
-10.0,125.0,3.173191
-9.5,118.75,3.5416932
-9.5,119.375,3.6728635
-9.5,120.0,3.8401704
-9.5,120.625,3.5854943
-9.5,123.75,2.998777
-9.5,124.375,2.7657819
-9.5,125.0,3.1008372
-9.5,125.625,3.71371
-9.0,114.375,3.862433
-9.0,115.0,3.7032971
-9.0,115.625,3.263038
-9.0,116.25,3.493163
-9.0,116.875,3.035973
-9.0,117.5,2.5613708
-9.0,118.125,2.7976124
-9.0,118.75,2.930909
-9.0,119.375,3.1486309
-9.0,120.0,3.5510838
-9.0,120.625,2.8927152
-9.0,121.25,2.2363794
-9.0,121.875,2.5655239
-9.0,122.5,2.6433182
-9.0,124.375,3.3873777
-9.0,125.0,3.3671987
-9.0,125.625,2.5476322
-9.0,126.25,2.8210998
-9.0,126.875,3.8547416
-8.5,110.625,4.0497923
-8.5,111.25,4.050838
-8.5,111.875,3.9119027
-8.5,112.5,3.9649584
-8.5,113.125,3.7167232
-8.5,113.75,3.3899937
-8.5,114.375,2.4246693
-8.5,115.0,2.4616506
-8.5,115.625,2.583005
-8.5,116.25,2.619871
-8.5,116.875,2.5141892
-8.5,117.5,2.4664884
-8.5,118.125,2.6954615
-8.5,118.75,2.7561915
-8.5,119.375,2.9698308
-8.5,120.0,2.831023
-8.5,120.625,2.2908087
-8.5,121.25,2.4962301
-8.5,121.875,2.8352044
-8.5,122.5,2.8512568
-8.5,123.125,2.8847868
-8.5,123.75,2.9597163
-8.5,124.375,3.0951004
-8.5,125.0,2.9749718
-8.5,125.625,3.341937
-8.5,126.25,3.6913762
-8.5,126.875,4.1282897
-8.5,127.5,4.215615
-8.0,107.5,4.2559266
-8.0,108.125,4.01747
-8.0,108.75,3.7094088
-8.0,109.375,3.8835464
-8.0,110.0,3.786459
-8.0,110.625,3.4403605
-8.0,111.25,3.201591
-8.0,111.875,3.0687757
-8.0,112.5,2.8282008
-8.0,113.125,2.7010694
-8.0,113.75,2.5179057
-8.0,114.375,2.4271388
-8.0,115.0,2.6288242
-8.0,115.625,2.9865735
-8.0,117.5,3.189462
-8.0,118.125,3.1914923
-8.0,118.75,3.4551828
-8.0,119.375,3.6007504
-8.0,121.875,3.4791143
-8.0,122.5,3.3803113
-8.0,123.125,3.2601027
-8.0,123.75,3.2150295
-8.0,124.375,3.0961194
-8.0,125.0,3.35301
-7.5,106.25,3.9285712
-7.5,106.875,4.1346397
-7.5,107.5,4.0601273
-7.5,108.125,3.3548198
-7.5,108.75,2.8798232
-7.5,109.375,3.02957
-7.5,110.0,2.8945668
-7.5,110.625,2.819518
-7.5,111.25,2.7854385
-7.5,111.875,2.921374
-7.5,112.5,2.9748607
-7.5,113.125,3.2390232
-7.5,113.75,3.3775353
-7.5,114.375,3.615512
-7.5,115.625,3.3531122
-7.5,116.875,3.701353
-7.5,117.5,3.6822004
-7.5,118.125,3.8562376
-7.0,105.0,3.9556575
-7.0,105.625,3.8349466
-7.0,106.25,3.7289853
-7.0,106.875,3.573575
-7.0,107.5,3.2298365
-7.0,108.125,2.5320504
-7.0,108.75,2.7345924
-7.0,109.375,3.0543542
-7.0,110.0,3.387345
-7.0,110.625,3.2211914
-7.0,111.25,3.2570236
-7.0,111.875,3.5671659
-7.0,112.5,3.777853
-7.0,113.125,3.916326
-7.0,113.75,3.9232774
-7.0,114.375,3.8709426
-7.0,115.0,3.7241645
-7.0,115.625,3.6547742
-7.0,116.25,3.6310985
-7.0,118.125,3.8994393
-7.0,118.75,3.928967
-7.0,119.375,4.0228534
-6.5,105.0,3.94568
-6.5,105.625,3.7274778
-6.5,106.25,3.5527163
-6.5,106.875,3.3308153
-6.5,107.5,3.4239678
-6.5,108.125,3.5432477
-6.5,108.75,3.6224825
-6.5,110.625,3.867128
-6.5,111.25,3.79694
-6.5,111.875,3.9303951
-6.5,115.625,3.7510962
-6.5,118.125,3.905402
-6.5,118.75,3.986315
-6.0,105.625,3.5494153
-6.0,106.25,3.6415908
-6.0,106.875,3.7658937
-6.0,107.5,4.023419
-6.0,108.125,3.948853
-6.0,110.0,3.757331
-6.0,110.625,3.855027
-6.0,112.5,3.9205923
-5.5,106.25,3.5459595
-5.5,106.875,3.8734343
-5.5,114.375,3.6107802
-5.0,114.375,3.4880216
-5.0,115.625,3.3921263
-4.5,115.625,3.1795166
-4.5,116.25,2.9930677
