latitude,longitude,value
-11.0,121.25,4.6631966
-11.0,122.5,4.7050686
-11.0,123.125,4.8740487
-10.5,120.0,4.82297
-10.5,120.625,4.681147
-10.5,121.25,4.367738
-10.5,121.875,4.3557224
-10.5,123.125,4.602471
-10.5,123.75,4.799821
-10.5,124.375,5.0723543
-10.0,118.75,4.443492
-10.0,119.375,4.7458596
-10.0,120.0,4.764235
-10.0,120.625,4.4413047
-10.0,123.125,4.1110005
-10.0,123.75,4.2229505
-10.0,124.375,3.7742996
-10.0,125.0,3.729946
-9.5,118.75,4.291685
-9.5,119.375,4.5783143
-9.5,120.0,4.616889
-9.5,120.625,4.0142074
-9.5,123.75,3.707843
-9.5,124.375,3.255642
-9.5,125.0,3.384192
-9.5,125.625,3.8417783
-9.0,114.375,4.0628486
-9.0,115.0,4.168141
-9.0,115.625,3.9595838
-9.0,116.25,3.942387
-9.0,116.875,3.5199733
-9.0,117.5,3.1219187
-9.0,118.125,3.5158467
-9.0,118.75,3.8743467
-9.0,119.375,4.088237
-9.0,120.0,4.252624
-9.0,120.625,3.5490944
-9.0,121.25,2.822539
-9.0,121.875,3.1561115
-9.0,122.5,3.2322946
-9.0,124.375,4.070251
-9.0,125.0,3.6381936
-9.0,125.625,2.7898855
-9.0,126.25,2.7575727
-9.0,126.875,3.7779586
-8.5,110.625,4.6561837
-8.5,111.25,4.7125964
-8.5,111.875,4.4495797
-8.5,112.5,4.437549
-8.5,113.125,4.3907676
-8.5,113.75,4.090991
-8.5,114.375,3.215132
-8.5,115.0,3.0927353
-8.5,115.625,3.4157567
-8.5,116.25,3.2022645
-8.5,116.875,3.1544416
-8.5,117.5,2.7888517
-8.5,118.125,3.1949718
-8.5,118.75,3.4721372
-8.5,119.375,3.6263387
-8.5,120.0,3.4957805
-8.5,120.625,2.9807003
-8.5,121.25,3.1069617
-8.5,121.875,3.4957097
-8.5,122.5,3.4501157
-8.5,123.125,3.3923664
-8.5,123.75,3.4443095
-8.5,124.375,3.5921798
-8.5,125.0,3.6626828
-8.5,125.625,3.7114148
-8.5,126.25,3.9747903
-8.5,126.875,4.28631
-8.5,127.5,4.369597
-8.0,107.5,5.6555133
-8.0,108.125,5.6774726
-8.0,108.75,5.321794
-8.0,109.375,4.957136
-8.0,110.0,4.6330323
-8.0,110.625,4.347581
-8.0,111.25,4.089618
-8.0,111.875,3.9188104
-8.0,112.5,3.670348
-8.0,113.125,3.690426
-8.0,113.75,3.560892
-8.0,114.375,3.2891455
-8.0,115.0,3.3518238
-8.0,115.625,3.5406666
-8.0,117.5,3.7384417
-8.0,118.125,3.894187
-8.0,118.75,4.3461866
-8.0,119.375,4.4710474
-8.0,121.875,4.921662
-8.0,122.5,4.5713267
-8.0,123.125,4.246552
-8.0,123.75,4.2207737
-8.0,124.375,4.074207
-8.0,125.0,4.4041348
-7.5,106.25,5.4661684
-7.5,106.875,5.611623
-7.5,107.5,5.7843504
-7.5,108.125,4.9957147
-7.5,108.75,4.024281
-7.5,109.375,3.9224546
-7.5,110.0,4.0956507
-7.5,110.625,4.0015264
-7.5,111.25,3.834919
-7.5,111.875,3.8310125
-7.5,112.5,3.7489936
-7.5,113.125,3.8506444
-7.5,113.75,4.1057644
-7.5,114.375,4.298042
-7.5,115.625,4.1305294
-7.5,116.875,4.405797
-7.5,117.5,4.442527
-7.5,118.125,4.832594
-7.0,105.0,6.1264176
-7.0,105.625,5.9474277
-7.0,106.25,5.512243
-7.0,106.875,5.2477612
-7.0,107.5,5.043628
-7.0,108.125,3.571086
-7.0,108.75,3.7508175
-7.0,109.375,4.455176
-7.0,110.0,4.8929048
-7.0,110.625,4.3357983
-7.0,111.25,4.363085
-7.0,111.875,4.61803
-7.0,112.5,4.8419437
-7.0,113.125,4.8514385
-7.0,113.75,4.914141
-7.0,114.375,4.8921623
-7.0,115.0,4.7868047
-7.0,115.625,4.675025
-7.0,116.25,4.66096
-7.0,118.125,5.037988
-7.0,118.75,5.1642075
-7.0,119.375,5.3480005
-6.5,105.0,6.8344884
-6.5,105.625,6.298017
-6.5,106.25,5.6685805
-6.5,106.875,5.2173696
-6.5,107.5,4.967716
-6.5,108.125,4.93417
-6.5,108.75,5.457138
-6.5,110.625,5.8582006
-6.5,111.25,5.6719127
-6.5,111.875,5.725112
-6.5,115.625,5.3088055
-6.5,118.125,5.2048006
-6.5,118.75,5.3424516
-6.0,105.625,6.038225
-6.0,106.25,5.9051147
-6.0,106.875,5.88897
-6.0,107.5,6.294326
-6.0,108.125,6.772458
-6.0,110.0,6.4907284
-6.0,110.625,6.4265895
-6.0,112.5,6.4035873
-5.5,106.25,5.437207
-5.5,106.875,6.167978
-5.5,114.375,6.315378
-5.0,114.375,6.363507
-5.0,115.625,6.032408
-4.5,115.625,5.7747917
-4.5,116.25,5.43657
