latitude,longitude,value
-11.0,121.25,5.320792
-11.0,122.5,5.4010634
-11.0,123.125,5.5368495
-10.5,120.0,5.3509016
-10.5,120.625,5.289185
-10.5,121.25,5.19151
-10.5,121.875,5.2320433
-10.5,123.125,5.3864346
-10.5,123.75,5.630796
-10.5,124.375,5.7730956
-10.0,118.75,4.871115
-10.0,119.375,5.0620966
-10.0,120.0,5.075494
-10.0,120.625,5.1940036
-10.0,123.125,5.026016
-10.0,123.75,5.097606
-10.0,124.375,4.4938483
-10.0,125.0,3.9596822
-9.5,118.75,4.2428346
-9.5,119.375,4.54687
-9.5,120.0,4.8963857
-9.5,120.625,4.9255033
-9.5,123.75,4.5287366
-9.5,124.375,3.8788087
-9.5,125.0,4.3431234
-9.5,125.625,5.455021
-9.0,114.375,4.0495696
-9.0,115.0,3.8589182
-9.0,115.625,3.474755
-9.0,116.25,3.5905263
-9.0,116.875,3.2743058
-9.0,117.5,2.9991715
-9.0,118.125,3.3623521
-9.0,118.75,3.7133381
-9.0,119.375,3.9763312
-9.0,120.0,4.3146505
-9.0,120.625,3.9248211
-9.0,121.25,3.2382262
-9.0,121.875,3.9374018
-9.0,122.5,4.071157
-9.0,124.375,4.9879403
-9.0,125.0,4.793456
-9.0,125.625,3.885795
-9.0,126.25,3.5246866
-9.0,126.875,5.031834
-8.5,110.625,5.2648373
-8.5,111.25,5.120218
-8.5,111.875,4.4990764
-8.5,112.5,4.3501687
-8.5,113.125,4.262359
-8.5,113.75,3.9067402
-8.5,114.375,2.7774806
-8.5,115.0,2.7446105
-8.5,115.625,3.0379322
-8.5,116.25,2.972074
-8.5,116.875,3.093688
-8.5,117.5,3.0020123
-8.5,118.125,3.4654112
-8.5,118.75,3.7578611
-8.5,119.375,3.9059463
-8.5,120.0,3.53524
-8.5,120.625,3.0423036
-8.5,121.25,3.4926274
-8.5,121.875,4.1891947
-8.5,122.5,4.329488
-8.5,123.125,4.3996425
-8.5,123.75,4.436033
-8.5,124.375,4.57271
-8.5,125.0,4.5574665
-8.5,125.625,4.5302134
-8.5,126.25,5.608393
-8.5,126.875,6.025165
-8.5,127.5,6.043599
-8.0,107.5,6.420905
-8.0,108.125,5.956155
-8.0,108.75,5.249287
-8.0,109.375,5.0778613
-8.0,110.0,4.6844454
-8.0,110.625,4.3001723
-8.0,111.25,4.0350842
-8.0,111.875,3.7036674
-8.0,112.5,3.3995502
-8.0,113.125,3.4824421
-8.0,113.75,3.2124722
-8.0,114.375,3.0475793
-8.0,115.0,3.4127102
-8.0,115.625,3.9162178
-8.0,117.5,4.026625
-8.0,118.125,4.1076374
-8.0,118.75,4.6030536
-8.0,119.375,4.840647
-8.0,121.875,5.501239
-8.0,122.5,5.3111577
-8.0,123.125,5.128889
-8.0,123.75,5.162692
-8.0,124.375,5.0275807
-8.0,125.0,5.548434
-7.5,106.25,5.896198
-7.5,106.875,5.739261
-7.5,107.5,5.485422
-7.5,108.125,4.32719
-7.5,108.75,3.5643322
-7.5,109.375,3.584835
-7.5,110.0,3.711793
-7.5,110.625,3.6288996
-7.5,111.25,3.4546785
-7.5,111.875,3.5608075
-7.5,112.5,3.5715406
-7.5,113.125,3.992692
-7.5,113.75,4.052217
-7.5,114.375,4.6898146
-7.5,115.625,4.4694
-7.5,116.875,4.5750093
-7.5,117.5,4.6423154
-7.5,118.125,4.985735
-7.0,105.0,6.294964
-7.0,105.625,5.845182
-7.0,106.25,5.0869703
-7.0,106.875,4.4442773
-7.0,107.5,4.251413
-7.0,108.125,3.276694
-7.0,108.75,3.1422832
-7.0,109.375,3.4360466
-7.0,110.0,4.04452
-7.0,110.625,4.0308146
-7.0,111.25,4.0386043
-7.0,111.875,4.356903
-7.0,112.5,4.5369115
-7.0,113.125,4.8194394
-7.0,113.75,4.795925
-7.0,114.375,4.7860594
-7.0,115.0,4.666931
-7.0,115.625,4.618046
-7.0,116.25,4.5657964
-7.0,118.125,5.0324597
-7.0,118.75,5.2035003
-7.0,119.375,5.3486557
-6.5,105.0,6.030662
-6.5,105.625,5.2881055
-6.5,106.25,4.46774
-6.5,106.875,4.0763135
-6.5,107.5,4.0160513
-6.5,108.125,4.1115394
-6.5,108.75,4.49072
-6.5,110.625,4.780141
-6.5,111.25,4.7862372
-6.5,111.875,4.9217973
-6.5,115.625,4.7503867
-6.5,118.125,4.976524
-6.5,118.75,5.223732
-6.0,105.625,4.552388
-6.0,106.25,4.217412
-6.0,106.875,4.1869226
-6.0,107.5,4.3900576
-6.0,108.125,4.858289
-6.0,110.0,4.5887184
-6.0,110.625,4.76225
-6.0,112.5,4.9217873
-5.5,106.25,3.8392942
-5.5,106.875,4.1288996
-5.5,114.375,4.471263
-5.0,114.375,4.2703276
-5.0,115.625,4.2852764
-4.5,115.625,3.8281503
-4.5,116.25,3.797958
