latitude,longitude,value
-11.0,121.25,4.2411904
-11.0,122.5,4.4054303
-11.0,123.125,4.5390134
-10.5,120.0,4.9071465
-10.5,120.625,4.3829093
-10.5,121.25,4.3074226
-10.5,121.875,4.587243
-10.5,123.125,5.0618796
-10.5,123.75,5.440355
-10.5,124.375,4.5813646
-10.0,118.75,5.1710196
-10.0,119.375,5.319982
-10.0,120.0,4.68776
-10.0,120.625,4.5636625
-10.0,123.125,4.533636
-10.0,123.75,4.5678177
-10.0,124.375,4.387877
-10.0,125.0,3.3550406
-9.5,118.75,4.76469
-9.5,119.375,4.066274
-9.5,120.0,4.4112062
-9.5,120.625,5.0412145
-9.5,123.75,3.627429
-9.5,124.375,3.6648216
-9.5,125.0,4.1522326
-9.5,125.625,3.9408302
-9.0,114.375,5.440093
-9.0,115.0,5.4079523
-9.0,115.625,5.1764297
-9.0,116.25,5.1435165
-9.0,116.875,4.220615
-9.0,117.5,3.7343342
-9.0,118.125,4.489236
-9.0,118.75,4.52227
-9.0,119.375,3.8538609
-9.0,120.0,4.084467
-9.0,120.625,3.5594172
-9.0,121.25,3.224926
-9.0,121.875,3.294635
-9.0,122.5,3.1763558
-9.0,124.375,3.7960105
-9.0,125.0,3.9927912
-9.0,125.625,3.1903265
-9.0,126.25,3.6945488
-9.0,126.875,4.1914296
-8.5,110.625,7.1628485
-8.5,111.25,6.769566
-8.5,111.875,6.344724
-8.5,112.5,6.2370615
-8.5,113.125,5.7999954
-8.5,113.75,5.259533
-8.5,114.375,3.77433
-8.5,115.0,4.149637
-8.5,115.625,4.488895
-8.5,116.25,4.0170593
-8.5,116.875,3.3648827
-8.5,117.5,3.3848324
-8.5,118.125,4.3251195
-8.5,118.75,4.203185
-8.5,119.375,3.5058568
-8.5,120.0,2.6008615
-8.5,120.625,2.2325354
-8.5,121.25,2.8822398
-8.5,121.875,2.8588114
-8.5,122.5,2.6602852
-8.5,123.125,2.434628
-8.5,123.75,2.4996915
-8.5,124.375,2.7741246
-8.5,125.0,2.9429004
-8.5,125.625,4.409351
-8.5,126.25,5.3172483
-8.5,126.875,5.3184643
-8.5,127.5,5.073303
-8.0,107.5,7.859995
-8.0,108.125,7.185956
-8.0,108.75,7.2007723
-8.0,109.375,7.311666
-8.0,110.0,6.362775
-8.0,110.625,5.737602
-8.0,111.25,5.4883175
-8.0,111.875,5.0077734
-8.0,112.5,4.4271145
-8.0,113.125,4.697332
-8.0,113.75,4.3989363
-8.0,114.375,3.9718118
-8.0,115.0,4.1995177
-8.0,115.625,4.7347226
-8.0,117.5,3.3365703
-8.0,118.125,3.4917321
-8.0,118.75,3.953775
-8.0,119.375,3.0558488
-8.0,121.875,2.5748336
-8.0,122.5,2.5577688
-8.0,123.125,2.5695887
-8.0,123.75,2.7141201
-8.0,124.375,3.002503
-8.0,125.0,3.6656194
-7.5,106.25,7.9590263
-7.5,106.875,7.3319364
-7.5,107.5,6.0285044
-7.5,108.125,5.203635
-7.5,108.75,4.9744763
-7.5,109.375,4.8228235
-7.5,110.0,4.2426767
-7.5,110.625,4.325263
-7.5,111.25,4.181338
-7.5,111.875,4.0025992
-7.5,112.5,3.7887547
-7.5,113.125,4.7971973
-7.5,113.75,4.4891095
-7.5,114.375,5.130477
-7.5,115.625,4.3273773
-7.5,116.875,3.13003
-7.5,117.5,3.2385561
-7.5,118.125,3.3417048
-7.0,105.0,7.0632873
-7.0,105.625,6.9284687
-7.0,106.25,5.685313
-7.0,106.875,3.936877
-7.0,107.5,3.2437637
-7.0,108.125,3.7633703
-7.0,108.75,4.1960926
-7.0,109.375,3.364507
-7.0,110.0,3.5167172
-7.0,110.625,3.9765642
-7.0,111.25,3.772328
-7.0,111.875,3.850302
-7.0,112.5,4.275284
-7.0,113.125,4.9526362
-7.0,113.75,4.8700323
-7.0,114.375,4.9209037
-7.0,115.0,4.649084
-7.0,115.625,4.3355703
-7.0,116.25,3.5429454
-7.0,118.125,3.337706
-7.0,118.75,3.3001473
-7.0,119.375,2.9088025
-6.5,105.0,6.17272
-6.5,105.625,5.1366467
-6.5,106.25,3.489507
-6.5,106.875,2.780952
-6.5,107.5,3.1835077
-6.5,108.125,4.268336
-6.5,108.75,4.537626
-6.5,110.625,3.717579
-6.5,111.25,3.7625167
-6.5,111.875,3.9443407
-6.5,115.625,4.0159917
-6.5,118.125,3.5235367
-6.5,118.75,3.4648433
-6.0,105.625,4.0525503
-6.0,106.25,3.1458836
-6.0,106.875,3.0349333
-6.0,107.5,3.5711737
-6.0,108.125,4.189124
-6.0,110.0,3.2390866
-6.0,110.625,3.6586351
-6.0,112.5,4.428507
-5.5,106.25,3.0981226
-5.5,106.875,3.0427265
-5.5,114.375,4.487382
-5.0,114.375,4.4985666
-5.0,115.625,4.001834
-4.5,115.625,3.9220395
-4.5,116.25,3.8512766
