latitude,longitude,value
-11.0,121.25,7.102447
-11.0,122.5,6.994035
-11.0,123.125,7.044978
-10.5,120.0,7.419285
-10.5,120.625,7.015113
-10.5,121.25,6.6789856
-10.5,121.875,6.6544905
-10.5,123.125,6.7694697
-10.5,123.75,7.1432195
-10.5,124.375,7.38667
-10.0,118.75,6.9463434
-10.0,119.375,7.1118774
-10.0,120.0,6.9020596
-10.0,120.625,7.000111
-10.0,123.125,6.140495
-10.0,123.75,6.2200875
-10.0,124.375,5.3386617
-10.0,125.0,4.2850337
-9.5,118.75,5.822977
-9.5,119.375,6.0949726
-9.5,120.0,6.7178173
-9.5,120.625,6.8738613
-9.5,123.75,5.134058
-9.5,124.375,4.7000237
-9.5,125.0,4.9771314
-9.5,125.625,5.994262
-9.0,114.375,6.6733665
-9.0,115.0,6.472081
-9.0,115.625,5.968086
-9.0,116.25,5.5552406
-9.0,116.875,4.382321
-9.0,117.5,3.5761375
-9.0,118.125,4.1327825
-9.0,118.75,4.705449
-9.0,119.375,5.015554
-9.0,120.0,6.1044517
-9.0,120.625,5.1785493
-9.0,121.25,3.5409536
-9.0,121.875,4.712411
-9.0,122.5,5.0058985
-9.0,124.375,5.739825
-9.0,125.0,5.5621815
-9.0,125.625,4.3557367
-9.0,126.25,3.4076786
-9.0,126.875,5.443526
-8.5,110.625,7.1208096
-8.5,111.25,7.1063337
-8.5,111.875,6.4848604
-8.5,112.5,6.529187
-8.5,113.125,6.2265797
-8.5,113.75,5.666525
-8.5,114.375,3.7423646
-8.5,115.0,3.7091122
-8.5,115.625,4.131552
-8.5,116.25,3.5876136
-8.5,116.875,3.6322916
-8.5,117.5,3.6056728
-8.5,118.125,4.3246202
-8.5,118.75,4.8691616
-8.5,119.375,5.039312
-8.5,120.0,4.332632
-8.5,120.625,3.7882228
-8.5,121.25,4.585675
-8.5,121.875,5.7342763
-8.5,122.5,5.8480906
-8.5,123.125,5.684495
-8.5,123.75,5.303549
-8.5,124.375,5.1454525
-8.5,125.0,5.098109
-8.5,125.625,5.3672075
-8.5,126.25,6.5065966
-8.5,126.875,7.0540357
-8.5,127.5,7.0931273
-8.0,107.5,8.397958
-8.0,108.125,8.022266
-8.0,108.75,6.917231
-8.0,109.375,6.484392
-8.0,110.0,6.1007524
-8.0,110.625,5.4610224
-8.0,111.25,5.2370734
-8.0,111.875,4.6908536
-8.0,112.5,4.321552
-8.0,113.125,3.986829
-8.0,113.75,3.6570053
-8.0,114.375,3.4903793
-8.0,115.0,3.9217565
-8.0,115.625,5.247007
-8.0,117.5,5.325202
-8.0,118.125,5.5902743
-8.0,118.75,6.3928504
-8.0,119.375,6.7234464
-8.0,121.875,7.548032
-8.0,122.5,7.0196996
-8.0,123.125,6.5492396
-8.0,123.75,6.375718
-8.0,124.375,5.9184847
-8.0,125.0,6.5000973
-7.5,106.25,7.538005
-7.5,106.875,7.460571
-7.5,107.5,7.3479595
-7.5,108.125,5.4192843
-7.5,108.75,3.6285856
-7.5,109.375,4.0630774
-7.5,110.0,4.7107677
-7.5,110.625,4.280352
-7.5,111.25,4.132336
-7.5,111.875,4.3942876
-7.5,112.5,4.5291176
-7.5,113.125,4.950666
-7.5,113.75,5.1993294
-7.5,114.375,6.4967284
-7.5,115.625,6.6028066
-7.5,116.875,6.7393527
-7.5,117.5,6.5312924
-7.5,118.125,6.9559574
-7.0,105.0,7.86872
-7.0,105.625,7.239586
-7.0,106.25,6.30231
-7.0,106.875,5.6115904
-7.0,107.5,5.5934277
-7.0,108.125,4.0341086
-7.0,108.75,3.5713863
-7.0,109.375,4.22829
-7.0,110.0,5.731121
-7.0,110.625,5.306567
-7.0,111.25,5.168666
-7.0,111.875,5.641349
-7.0,112.5,6.2082615
-7.0,113.125,6.746303
-7.0,113.75,6.895638
-7.0,114.375,7.0336223
-7.0,115.0,7.0111
-7.0,115.625,6.868853
-7.0,116.25,6.6942487
-7.0,118.125,6.914251
-7.0,118.75,7.0603247
-7.0,119.375,7.22134
-6.5,105.0,7.515574
-6.5,105.625,6.3591247
-6.5,106.25,5.2389536
-6.5,106.875,4.949264
-6.5,107.5,5.240815
-6.5,108.125,5.5812087
-6.5,108.75,6.193731
-6.5,110.625,6.8962493
-6.5,111.25,6.8141317
-6.5,111.875,6.87075
-6.5,115.625,6.953174
-6.5,118.125,6.7658076
-6.5,118.75,6.9332857
-6.0,105.625,5.1991777
-6.0,106.25,4.9172697
-6.0,106.875,5.276687
-6.0,107.5,5.975157
-6.0,108.125,6.907524
-6.0,110.0,7.003847
-6.0,110.625,7.1873145
-6.0,112.5,7.3797927
-5.5,106.25,4.6929846
-5.5,106.875,5.540871
-5.5,114.375,6.953468
-5.0,114.375,6.63699
-5.0,115.625,6.208195
-4.5,115.625,5.594851
-4.5,116.25,5.1508923
