latitude,longitude,value
-11.0,121.25,3.77364
-11.0,122.5,3.8847525
-11.0,123.125,4.04501
-10.5,120.0,4.1290746
-10.5,120.625,4.0222707
-10.5,121.25,3.8373911
-10.5,121.875,3.8496034
-10.5,123.125,4.043277
-10.5,123.75,4.478319
-10.5,124.375,4.1681743
-10.0,118.75,4.4182935
-10.0,119.375,4.6026325
-10.0,120.0,4.004209
-10.0,120.625,4.105001
-10.0,123.125,4.17092
-10.0,123.75,4.063729
-10.0,124.375,3.7862463
-10.0,125.0,3.3319626
-9.5,118.75,4.560557
-9.5,119.375,3.9155068
-9.5,120.0,3.5054164
-9.5,120.625,4.3013487
-9.5,123.75,4.0024533
-9.5,124.375,2.975858
-9.5,125.0,3.4693089
-9.5,125.625,3.6047215
-9.0,114.375,4.5489135
-9.0,115.0,4.588874
-9.0,115.625,4.503204
-9.0,116.25,4.528614
-9.0,116.875,3.900012
-9.0,117.5,3.631869
-9.0,118.125,4.2450824
-9.0,118.75,4.6854177
-9.0,119.375,3.867631
-9.0,120.0,3.270642
-9.0,120.625,3.1368551
-9.0,121.25,3.1566482
-9.0,121.875,3.3288195
-9.0,122.5,3.5107496
-9.0,124.375,3.455284
-9.0,125.0,3.1551795
-9.0,125.625,2.6578457
-9.0,126.25,3.5619433
-9.0,126.875,3.9594405
-8.5,110.625,5.8758593
-8.5,111.25,5.5372634
-8.5,111.875,5.3486347
-8.5,112.5,5.2511964
-8.5,113.125,5.046891
-8.5,113.75,4.5755286
-8.5,114.375,3.6273944
-8.5,115.0,3.8835683
-8.5,115.625,4.298448
-8.5,116.25,3.9129038
-8.5,116.875,3.3826976
-8.5,117.5,3.3461866
-8.5,118.125,4.3785853
-8.5,118.75,4.415946
-8.5,119.375,3.9816456
-8.5,120.0,2.7782996
-8.5,120.625,2.3502786
-8.5,121.25,3.198764
-8.5,121.875,3.367556
-8.5,122.5,3.2603288
-8.5,123.125,3.4002304
-8.5,123.75,3.2289503
-8.5,124.375,2.729795
-8.5,125.0,2.8594275
-8.5,125.625,2.8827868
-8.5,126.25,4.144612
-8.5,126.875,4.4767814
-8.5,127.5,4.174032
-8.0,107.5,6.715511
-8.0,108.125,5.872071
-8.0,108.75,5.819983
-8.0,109.375,6.169068
-8.0,110.0,5.498246
-8.0,110.625,5.0331297
-8.0,111.25,4.7552447
-8.0,111.875,4.6182795
-8.0,112.5,4.011497
-8.0,113.125,4.46861
-8.0,113.75,4.0656166
-8.0,114.375,3.93819
-8.0,115.0,4.0888433
-8.0,115.625,4.509767
-8.0,117.5,3.1476505
-8.0,118.125,3.57141
-8.0,118.75,4.115644
-8.0,119.375,3.8362885
-8.0,121.875,3.1142533
-8.0,122.5,3.090077
-8.0,123.125,3.099801
-8.0,123.75,3.072966
-8.0,124.375,2.8180952
-8.0,125.0,2.796194
-7.5,106.25,7.136818
-7.5,106.875,6.5025244
-7.5,107.5,5.25624
-7.5,108.125,4.427
-7.5,108.75,4.514458
-7.5,109.375,4.6630435
-7.5,110.0,4.019811
-7.5,110.625,4.1853414
-7.5,111.25,3.8217335
-7.5,111.875,3.8399649
-7.5,112.5,3.4129364
-7.5,113.125,4.4190497
-7.5,113.75,3.8613794
-7.5,114.375,4.7167625
-7.5,115.625,4.0578322
-7.5,116.875,2.8843632
-7.5,117.5,2.974986
-7.5,118.125,3.3134544
-7.0,105.0,6.718668
-7.0,105.625,6.5455747
-7.0,106.25,5.5004425
-7.0,106.875,3.893657
-7.0,107.5,2.960723
-7.0,108.125,3.5000784
-7.0,108.75,4.4059114
-7.0,109.375,3.7667186
-7.0,110.0,3.2779896
-7.0,110.625,3.6327481
-7.0,111.25,3.4624164
-7.0,111.875,3.6192884
-7.0,112.5,3.6367757
-7.0,113.125,4.044149
-7.0,113.75,3.8823957
-7.0,114.375,4.3451495
-7.0,115.0,4.182383
-7.0,115.625,4.097872
-7.0,116.25,3.3497872
-7.0,118.125,3.3662014
-7.0,118.75,3.646505
-7.0,119.375,3.4972029
-6.5,105.0,5.8980327
-6.5,105.625,5.069096
-6.5,106.25,3.6065276
-6.5,106.875,2.7242851
-6.5,107.5,2.810623
-6.5,108.125,3.8805952
-6.5,108.75,4.7815776
-6.5,110.625,3.4591238
-6.5,111.25,3.446187
-6.5,111.875,3.4629643
-6.5,115.625,3.7652776
-6.5,118.125,3.505719
-6.5,118.75,3.6568923
-6.0,105.625,3.9909298
-6.0,106.25,3.066809
-6.0,106.875,2.8575258
-6.0,107.5,3.083442
-6.0,108.125,3.8687403
-6.0,110.0,2.9621239
-6.0,110.625,3.2433639
-6.0,112.5,3.2330732
-5.5,106.25,2.92593
-5.5,106.875,2.6976051
-5.5,114.375,3.6749616
-5.0,114.375,3.5012927
-5.0,115.625,3.3200505
-4.5,115.625,3.2111225
-4.5,116.25,3.204976
